"","Region","Mean","SD"
"1","africa",6830.45238095238,8462.37743854003
"2","aisa",16405.4761904762,26529.9179373383
"3","americas",15483.619047619,25849.4730013519
"4","europe",17732.8888888889,28267.1900108785
"5","ocreania",13350,18092.034103439
"6","Total",12029.9578947368,20416.0206564604
