"","Region","Mean","SD"
"1","africa",239.963316055244,169.838214453049
"2","aisa",331.366102018441,242.755661664524
"3","americas",281.653629633564,253.466122856706
"4","europe",437.179159065056,260.265290518438
"5","ocreania",328.943981900453,59.8509917697508
"6","Total",309.278739809433,227.236916996281
