"","Region","Mean","SD"
"1","africa",1.41216216216216,0.477683269862266
"2","aisa",1.94345238095238,0.756678789421275
"3","americas",2.01630434782609,0.666043640037785
"4","europe",2.64144736842105,0.72896808580899
"5","ocreania",3.125,0.176776695296637
"6","Total",2.00520833333333,0.814514715660787
