"","Region","Mean","SD"
"1","Africa",1.41216216216216,0.477683269862266
"2","Asia",1.94345238095238,0.756678789421275
"3","Americas",2.01630434782609,0.666043640037785
"4","Europe",2.64144736842105,0.72896808580899
"5","Oceania",3.125,0.176776695296637
"6","Total",2.00520833333333,0.814514715660787
